_id,introduction,isNationwide,prod_name,,,,,,,,,
68d5f7f215858da5cd40138d,"지금 KKday에서 해운대 블루라인파크 스카이캡슐, 해변열차 탑승권을 예약하고 부산 미포에서 송정까지 이어지는 해안 절경을 감상해 보세요!",FALSE,해운대 블루라인파크 스카이캡슐 / 해변열차 탑승권,,,,,,,,,
68d5f7f215858da5cd40138e,오직 KKday 이기에 가능한 찜카 쿠폰 10% 할인을 놓치지 마세요! 미리 구매하고 나중에 사용할 수도 있어요. 저렴하게 제주여행을 떠나세요!,TRUE,[KKday 단독 20% 할인] 제주·전국·해외렌트카/항공/투어택시 이용권,,,,,,,,,
68d5f7f215858da5cd40138f,한국 여행 필수품인 이심(eSIM)을 만나보세요. 유심 교체 없이 최대 4G속도로 500MB~50GB/무제한 플랜 선택 후 원하는 일자를 선택하여 현지 인터넷을 걱정없이 즐기세요!,TRUE,[50% 할인] 한국 데이터 무제한 이심(eSIM) | SKT (이메일 수령),,,,,,,,,
68d5f7f215858da5cd401390,인천·김포·김해 공항 라운지를 자유롭게! 마티나·스카이허브 중 선택해 즉시 이용 가능한 입장권을 KKday에서 간편하게 예약하세요.,TRUE,"[★즉시사용가능] 국내 공항 라운지(인천/김포/김해 중 택1) 이용권/입장권/티켓 (마티나(골드 제외), 스카이허브 라운지)",,,,,,,,,
68d5f7f215858da5cd401391,"서울에서 환상의 나라 에버랜드와 워터파크 캐리비안베이까지 빠르고 편리한 전 좌석 예약제 에버랜드 셔틀버스로 이동! 복잡한 대중교통 대신 직행셔틀버스, 정기운행 버스로 가요!",FALSE,에버랜드 & 캐리비안베이 왕복 셔틀버스 티켓 (합정?홍대?신촌?서울역?시청?종로3가?명동?동대문 출발),,,,,,,,,
68d5f7f215858da5cd401392,"대구아쿠아리움에는 해양동물뿐만 귀여운 소동물들을 만날 수 있습니다. 수중생태설명회, 수중공연등 다양한 체험과 동물들과의 교감을 통해 특별한 경험과 잊지 못할 감동을 선사합니다. 물 위에서 수조를 내려다 볼 수 있는 '대구 바다 구름다리', 돔형태의 파노라마 수조인 '천장 수조' 화려한 조명과 거울이 만나 펼쳐지는 ‘바다 미로 수조’ 등 최신 아쿠아 전시기법의 이색 수조를 통해 다양한 시선에서 관람할 수 있습니다. 대구에서 가장 인기있는 곳으로 360도 천장 수조와 바다미로 수조에서 해양생물을 만날 수 있는 아쿠아리움 입장권을 KKday에서 구매하세요!",FALSE,대구 아쿠아리움 입장권(구매 후 1시간 뒤부터 사용 가능),,,,,,,,,
68d5f7f215858da5cd401393,한국 여행 필수품인 이심(eSIM)을 만나보세요. 유심 교체 없이 최대 4G속도로 데이터를 500MB/1GB/2GB/3GB까지 원하는 일자에 맞게 선택 하여 현지 인터넷을 걱정없이 즐기세요!,TRUE,【여름 할인 50%】한국 eSIM | KT / SK,,,,,,,,,
68d5f7f215858da5cd401394,"20년간 숨겨왔던 제주 비밀의 벙커,\n예술과 음악, 미디어 기술로 다시 태어나다.\n\n빛의 벙커는 옛 국가 기간 통신시설이었던 벙커를 국내 유일 몰입형 예술 전시관으로 재탄생 시킨 문화재생공간이다.\n\n새롭게 재해석 된 거장들의 작품들이 재생된 공간 속에서 역동적으로 되살아나 전시를 온전히 느끼며 감상할 수 있다",FALSE,[제주 | 빛의 벙커]  전시 입장권,,,,,,,,,
68d5f7f215858da5cd401395,"지금 KKday에서 씨라이프 부산 해운대 아쿠아리움 티켓을 구매하세요! 다양한 해양 생물과 수달, 가오리, 상어, 펭귄이 먹이를 먹는 모습을 감상하실 수 있어요.",FALSE,씨라이프 부산 해운대 아쿠아리움 티켓 (구매 후 익일부터 사용),,,,,,,,,
68d5f7f215858da5cd401396,세계에서 가장 인기있는 최신형 브랜드의 요트를 운영하여 깨끗하고 쾌적한 환경을 즐기 실 수 있습니다. 낡고 오래된 요트를 타시겠습니까? 깨끗하고 쾌적한 명품요트를 타시겠습니까! 부산 최고의 요트를 타고 아름다운 부산바다를 즐겨보세요,FALSE,[KKday 단독 초특가 프로모션] 퍼블릭 요트 투어|요트G,,,,,,,,,
